h,U,L,H,N,tf,W,CW,CH,Q,s,dh,A_hs,Nu_L,Re_dh
11.34287098277693,0.6,0.04,0.05,10,0.0015,0.04,0.15,0.08,10.0,0.0027777777777777783,0.0027027027027027024,0.04318,17.383710318432072,109.1797884841814
8.280454072093162,0.6,0.04,0.05,10,0.002,0.04,0.15,0.08,10.0,0.0022222222222222227,0.002173913043478261,0.043680000000000004,12.690351068342009,89.81440109988245
10.832772230551114,0.6,0.05,0.05,10,0.001,0.05,0.15,0.08,10.0,0.004444444444444445,0.00425531914893617,0.053600000000000016,20.752437223277987,168.16313397424793
6.624363257674529,0.6,0.05,0.05,10,0.002,0.05,0.15,0.08,10.0,0.0033333333333333327,0.003225806451612904,0.05460000000000001,12.690351068342009,133.27298227724492
13.29856100102288,0.6,0.06,0.05,10,0.001,0.06,0.15,0.08,10.0,0.005555555555555555,0.005263157894736842,0.06472,30.571404600052595,207.99124465235928
28.13236722863195,1.8,0.04,0.05,10,0.001,0.04,0.15,0.08,10.0,0.0033333333333333327,0.0032258064516129032,0.04268,43.114739047711794,382.43551436078974
27.919986016021856,1.8,0.04,0.05,10,0.0015,0.04,0.15,0.08,10.0,0.0027777777777777783,0.0027027027027027024,0.04318,42.78925059926721,327.53936545254413
22.401117741085702,1.8,0.05,0.05,10,0.001,0.05,0.15,0.08,10.0,0.004444444444444445,0.00425531914893617,0.053600000000000016,42.91401866108371,504.4894019227438
22.284475923489033,1.8,0.05,0.05,10,0.0015,0.05,0.15,0.08,10.0,0.003888888888888889,0.0037433155080213907,0.05410000000000001,42.69056690323568,453.6507788888179
23.58760878601912,1.8,0.06,0.05,10,0.001,0.06,0.15,0.08,10.0,0.005555555555555555,0.005263157894736842,0.06472,54.224388013837064,623.9737339570779
24.36540651830893,1.8,0.06,0.05,10,0.0015,0.06,0.15,0.08,10.0,0.005,0.0047619047619047615,0.06522,56.01242877772168,577.0931677021016
24.895082760124513,1.8,0.06,0.05,10,0.002,0.06,0.15,0.08,10.0,0.004444444444444444,0.0042553191489361685,0.06572,57.230075310631044,527.4207383737776
31.955697757205254,2.4,0.04,0.05,10,0.002,0.04,0.15,0.08,10.0,0.0022222222222222227,0.002173913043478261,0.043680000000000004,48.9742494363299,359.2576043995298
26.60552617918143,2.4,0.05,0.05,10,0.0015,0.05,0.15,0.08,10.0,0.003888888888888889,0.0037433155080213907,0.05410000000000001,50.96844095628628,604.8677051850906
27.487071833314115,2.4,0.06,0.05,10,0.001,0.06,0.15,0.08,10.0,0.005555555555555555,0.005263157894736842,0.06472,63.18867088118186,831.9649786094371
28.568425950896774,2.4,0.06,0.05,10,0.0015,0.06,0.15,0.08,10.0,0.005,0.0047619047619047615,0.06522,65.67454241585466,769.4575569361356
29.359553599335843,2.4,0.06,0.05,10,0.002,0.06,0.15,0.08,10.0,0.004444444444444444,0.0042553191489361685,0.06572,67.49322666513986,703.2276511650367
3.342796272816025,0.6,0.04,0.05,15,0.0015,0.04,0.15,0.08,10.0,0.00125,0.0012345679012345679,0.06393,5.123059421940268,51.59198178690564
4.3963483354519575,0.6,0.05,0.05,15,0.001,0.05,0.15,0.08,10.0,0.0025,0.0024390243902439024,0.07910000000000003,8.422123247992255,98.52810180279785
